name of company,college name,region,year,Salary
MILES SOFTWARE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,346240
MICROSOFT,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2016,415928
RAJA SOFTWARE LABS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016,430123
CAPITA,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,576884
ADOBE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,109643
PC TECHNOLOGY,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,773848
TECH MAHINDRA,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,29854
ACCENTURE,MIT COLLEGE OF ENGINEERING,PUNE,2017,293376
ECLERX,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018,405830
SABA SOFTWARE,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,709027
TATA COMMUNICATIONS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,664502
SIEMENS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2016,510152
MAQ SOFTWARE,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2015,752175
TECH MAHINDRA,COLLEGE OF ENGINEERING PUNE,PUNE,2015,29482
ORANGE,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2015,20215
ACCENTURE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,679399
MAJESCO,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2017,492948
INFOGAIN,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,225812
AXIS BANK,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,11637
NSEIT,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2016,59912
MILES SOFTWARE,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2015,350762
HDFC,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,520586
GEOMETRIC SOFTWARE SOLUTIONS,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2017,340314
PROTEGRITY,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2015,1176245
NEOSOFT,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,508278
ORIENT TECHNOLOGIES,COLLEGE OF ENGINEERING PUNE,PUNE,2017,26893
AMDOCS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,671136
WEATHERFORD,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2014,510009
IBM,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2014,383211
ZENSAR TECHNOLOGIES,COLLEGE OF ENGINEERING PUNE,PUNE,2014,469734
WISDMLABS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,463757
MAJESCO,COLLEGE OF ENGINEERING PUNE,PUNE,2018,432807
SIEMENS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,472267
MORGAN STANLEY,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2014,1765980
AMAZON,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,442378
GEP,MIT COLLEGE OF ENGINEERING,PUNE,2018,732548
NEOSOFT,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2017,517414
GEOMETRIC SOFTWARE SOLUTIONS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2017,344726
GE,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2016,716583
BANK OF AMERICA,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,814685
HDFC,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,534966
ZENITH SYSTEM SOLUTIONS,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2014,633549
RAVE TECHNOLOGIES,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,411032
TIBCO SOFTWARE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,594698
WISDMLABS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,1756435
CALSOFT,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,16625
ACCENTURE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,299512
SIEMENS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,506292
YAHOO,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2016,368896
GODREJ INFOTECH,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,380313
TCS,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,363745
WISDMLABS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,1686387
SYMANTEC,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,1848666
NEOSOFT TECHNOLOGIES,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2014,466766
SABA SOFTWARE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,692414
ACCOLITE,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2015,132900
PROTEGRITY,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2016,1176245
HEXAWARE TECHNOLOGIES,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,30641
MPHASIS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,705346
SCHNEIDER ELECTRIC,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,109643
MPHASIS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2016,469232
HURIX,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,913398
MICROSOFT,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,1164021
UBS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2014,1756484
INDUS VALLEY PARTNERS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,30563
SIEMENS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,482579
AMAZON,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,20022
NEWGEN SOFTWARE,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2016,445780
NSEIT,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2015,48920
WISDMLABS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,1724538
AMDOCS,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2014,751854
MASTEK,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,300323
NVIDIA,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,249593
BOOKMYSHOW,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,365173
GE,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2015,535128
CROMPTON GREAVES,COLLEGE OF ENGINEERING PUNE,PUNE,2018,249593
ADOBE,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2017,1197631
GE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,528078
ATIDAN,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,815946
ZYCUS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,41812
MPHASIS,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,482653
XORIANT,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,448458
MAQ SOFTWARE,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2014,752458
INFOSYS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,621560
HEXAWARE TECHNOLOGIES,COLLEGE OF ENGINEERING PUNE,PUNE,2018,30795
MINDTREE,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,17529
UBS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2016,368267
WNS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2014,420694
LARSEN & TOUBRO,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,1743905
UBS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,1851220
ORACLE,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,485414
BNP PARIBAS,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2015,53661
SCHNEIDER ELECTRIC,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2015,109643
INGRAM MICRO,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,363043
SABA SOFTWARE,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,711450
NVIDIA,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2016,22243
CALSOFT,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2014,16166
ADOBE,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,1177789
NETWORK 18,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,55113
UBS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,385590
MPHASIS,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2015,485002
NSEIT,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,49317
SIEMENS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,473700
ZYCUS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,41280
EDELWEISS FINANCIAL SERVICES,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2017,950624
TCS,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2016,41812
LARSEN & TOUBRO,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,1797327
VISA INC.,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2015,1202041
INFOGAIN,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,410696
ECLINICALWORKS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2014,591886
CIMPRESS,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,861754
NEOSOFT TECHNOLOGIES,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,471948
SCHNEIDER ELECTRIC,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2016,106631
WIPRO,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,485902
QUANTIPHI,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,892379
RAVE TECHNOLOGIES,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2017,649945
LARSEN & TOUBRO,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2014,1739556
SABA SOFTWARE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2014,697539
XL DYNAMICS,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2017,394705
IBM,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,384868
WIPRO,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2016,487553
GEOMETRIC,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2017,455025
NUCSOFT,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,225812
ENDURANCE INTERNATIONAL GROUP,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2017,775184
MORGAN STANLEY,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2014,1795032
SIEMENS,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2017,491486
MORGAN STANLEY,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,507602
MU SIGMA,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2014,343078
CMC,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,435063
LARSEN & TOUBRO,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2016,1759724
TCS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,364740
TIBCO SOFTWARE,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,575984
RAJA SOFTWARE LABS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,455947
SCHNEIDER ELECTRIC,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,111685
OSP LABS,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2014,841165
WNS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,465813
BHARAT PETROLEUM,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,374375
ORACLE,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,485375
MU SIGMA,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,333248
TATA,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,98062
ATOS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2016,729338
INGRAM MICRO,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2016,362871
INFORMATICA,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2016,372962
IDBI INTECH,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2015,382291
XORIANT,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,638498
MORGAN STANLEY,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,518294
GEP,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,722953
VERIZON,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2014,552244
CMS IT SERVICES,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,449752
ACCENTURE,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,668364
BHARAT PETROLEUM,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,375972
NEOSOFT TECHNOLOGIES,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2014,477993
GE,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2014,535996
INFOSYS,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2018,470498
MU SIGMA,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,345055
MILES SOFTWARE,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,339475
CIMPRESS,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2016,861754
QUINNOX,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,433589
WISDMLABS,MIT COLLEGE OF ENGINEERING,PUNE,2018,466296
BHARAT PETROLEUM,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,390200
KPIT TECHNOLOGIES,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2018,795504
THIRDWARE SOLUTION,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,441483
NSEIT,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2017,49818
SYNTROSYS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,964802
NEOSOFT TECHNOLOGIES,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,485826
RAVE TECHNOLOGIES,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2015,415747
SIEMENS,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2017,499480
VPHRASE,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,417083
QUINNOX,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2016,794736
TECH MAHINDRA,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2017,482555
MU SIGMA,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2016,689355
TECH MAHINDRA,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2015,471641
ECLERX,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,45413
TOPPR.COM,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2016,996681
AMDOCS,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,790430
INFOSYS,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,470498
AXIS BANK,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,11752
HEXAWARE TECHNOLOGIES,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2018,760901
SCHNEIDER ELECTRIC,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2017,449877
OSP LABS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,861754
SAINT-GOBAIN,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,729650
IDBI INTECH,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,395473
NUCSOFT,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2017,220406
ZENSAR TECHNOLOGIES,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2015,482579
NVIDIA,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,22908
BNP PARIBAS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2017,54010
QUINNOX,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,784640
ORACLE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2015,479516
UGAM,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2015,813265
ATOS,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2015,707311
BNP PARIBAS,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2015,53954
NUCSOFT,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016,29854
HEWLETT-PACKARD,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2018,1114263
GE,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,535901
INDUS VALLEY PARTNERS,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2018,768244
SCHNEIDER ELECTRIC,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,109483
WNS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,399372
MAQ SOFTWARE,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2018,760825
AMDOCS,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2018,758480
THIRDWARE SOLUTION,MIT COLLEGE OF ENGINEERING,PUNE,2014,508295
INFORMATICA,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016,1713329
GE,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2015,532421
NETWORK 18,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,433293
MAJESCO,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,440753
MORGAN STANLEY,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2017,502915
KPIT TECHNOLOGIES,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,784484
INFOGAIN,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2016,405713
CLOVER INFOTECH,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,17773
BHARAT PETROLEUM,COLLEGE OF ENGINEERING PUNE,PUNE,2017,382233
CAPITA,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,585569
RAVE TECHNOLOGIES,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2016,422021
XL DYNAMICS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2017,684806
TCS,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2014,357469
INFORMATICA,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2017,383725
ORIENT TECHNOLOGIES,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2015,27085
ATOS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2016,708556
TIBCO SOFTWARE,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2017,584443
MU SIGMA,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2014,714766
RAVE TECHNOLOGIES,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,403774
ECLERX,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,400779
ACCENTURE,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,298184
BOOKMYSHOW,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2014,366602
CMC,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2015,416373
LIONBRIDGE,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016,45356
QUINNOX,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2014,770369
NEOSOFT,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2014,384597
INFOGAIN,MIT COLLEGE OF ENGINEERING,PUNE,2015,417519
NUCSOFT,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,225812
TIBCO SOFTWARE,BHARATI VIDYAPEETH COLLEGE OF ENGINEERING,PUNE,2014,1284570
THIRDWARE SOLUTION,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2015,483150
GE,"TRINITY COLLEGE OF ENGINEERING AND RESEARCH,PUNE",PUNE,2018,708060
SCHNEIDER ELECTRIC,COLLEGE OF ENGINEERING PUNE,PUNE,2018,107263
BANK OF AMERICA,LOKMANYA TILAK COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,791104
NVIDIA,ARMY INSTITUTE OF TECHNOLOGY,PUNE,2017,22375
MORGAN STANLEY,COLLEGE OF ENGINEERING PUNE,PUNE,2016,1811933
CALSOFT,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2015,16783
OSP LABS,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2016,839059
PROTEGRITY,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2017,1177897
MU SIGMA,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2016,341797
NVIDIA,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2015,249729
WISDMLABS,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2015,1707041
QUINNOX,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2018,434777
ACCENTURE,VISHWAKARMA INSTITUTE OF TECHNOLOGY,PUNE,2014,658220
QAD,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,751770
QUINNOX,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2016,459353
INFOGAIN,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2015,424872
ZENSAR TECHNOLOGIES,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2018,1092013
ATOS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2015,25987
NEOSOFT,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018,523361
SABA SOFTWARE,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2017,722320
MAJESCO,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2014,483292
QUANTIPHI,THAKUR COLLEGE OF ENGINEERING AND TECHNOLOGY,MUMBAI,2014,892228
KPIT TECHNOLOGIES,"SHREE RAMCHANDRA COLLEGE OF ENGINEERING,PUNE",PUNE,2015,808270
BANK OF AMERICA,THADOMAL SHAHANI ENGINEERING COLLEGE,MUMBAI,2014,875649
TECH MAHINDRA,DHOLE PATIL COLLEGE OF ENGINEERING PUNE,PUNE,2016,29198
PROTEGRITY,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2016,1150591
MU SIGMA,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2018,711075
CMC,RAMRAO ADIK INSTITUTE OF TECHNOLOGY,NAVI MUMBAI,2014,419354
XL DYNAMICS,PILLAI HOC COLLEGE OF ENGINEERING AND TECHNOLOGY,NAVI MUMBAI,2018,678263
BANK OF AMERICA,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2014,805006
PC TECHNOLOGY,VEERMATA JIJABAI TECHNOLOGICAL INSTITUTE,MUMBAI,2018,17733
TECH MAHINDRA,DWARKADAS J. SANGHVI COLLEGE OF ENGINEERING,MUMBAI,2017,499210
JOHNSON CONTROLS,SMT. INDIRA GANDHI COLLEGE OF ENGINEERING,NAVI MUMBAI,2015,773321
XL DYNAMICS,"DR. D. Y. PATIL VIDYAPEETH, PUNE",PUNE,2018,697905
PROTEGRITY,MIT COLLEGE OF ENGINEERING,PUNE,2017,1162419
WIPRO,PUNE INSTITUTE OF COMPUTER TECHNOLOGY,PUNE,2016,469422
RAJA SOFTWARE LABS,XAVIER INSTITUTE OF ENGINEERING,MUMBAI,2018,441201
AMDOCS,ALAMURI RATNAMALA INSTITUTE OF ENGINEERING & TECHNOLOGY,THANE,2014,779507
ADOBE,INDIRA COLLEGE OF ENGINEERING AND MANAGEMENT,PUNE,2015,1149797
